uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param2,Run1,Run2,Run3,,There should be another similar sheet on excel or google sheets. Find it  and seggregate it
70d96tir,CarnivalNoFrameskip-v4,,,Random,,,,,??,1.a_CarnivalNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_02_19_43_34,1.a_CarnivalNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_02_19_50_58,,
i748tygu,CarnivalNoFrameskip-v4,,,,,,,,,,,,
6nwm1ibc,CarnivalNoFrameskip-v4,SpaceDemo,,VEP,Triplet,2,,,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_1.0_0.1_1.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_14_25_16,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_1.0_0.1_1.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_18_31_00,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_1.0_0.1_1.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_06_16_59,,
hmafqgw5,CarnivalNoFrameskip-v4,,,,,,,,,,,,
8m2ebivf,CarnivalNoFrameskip-v4,,,,,,,,,,,,
ma6eq7um,CarnivalNoFrameskip-v4,,,,,,,,,,,,
hjzf0q7t,CarnivalNoFrameskip-v4,,,TCN,,1,,,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_TCN_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_1.0_0.01_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_14_22_23_33,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_TCN_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_1.0_0.01_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_17_10_00_23,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_TCN_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_1.0_0.01_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_17_14_16_41,,
4nqaggg1,CarnivalNoFrameskip-v4,,,,,,,,,,,,
6f856o97,CarnivalNoFrameskip-v4,,,,,,,,,,,,
agehc8wm,CarnivalNoFrameskip-v4,,,VIP,,150,50,,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_VIP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_150.0_50.0_0.01_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_04_04_18,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_VIP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_150.0_50.0_0.01_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_01_51_32,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_VIP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_150.0_50.0_0.01_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_23_48_16,,
hmf6nk6c,CarnivalNoFrameskip-v4,,,,,,,,,,,,
iaxoqbkv,CarnivalNoFrameskip-v4,,,,,,,,,,,,
