uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param3,Batch size,nepoch,Run1,Run2,Run3,There should be another similar sheet on excel or google sheets. Find it  and seggregate it,
h5soekoj,Union_Square,,,,,,,,,,,,,,
aauffqf7,Union_Square,,,,,,,,,,,,,,
ks8d0zv7,Union_Square,,,,,,,,,,,,,,
jxr3c8rg,Union_Square,,,,,,,,,,,,,,
9gbu4evd,Union_Square,,,,,,,,,,,,,,
zle7z8k6,Union_Square,AllUnionHudsonWallCMU,,VEP,,,,,,0.25,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_13_13_00,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_04_00_20_25,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_03_13_07,,
vcbiz5fh,Union_Square,,,,,,,,,0.5,,,,,
80ds3vq8,Union_Square,,,VEP,,,,,,1,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_1.0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_16_35_41,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_RESNET_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_02_17_38_29,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_1.0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_13_12_33,,
aud19rls,Union_Square,,,,,,,,,,,,,,
ao4pkse0,Union_Square,,,TCN,,,,,,,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_14_35_06,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_17_54_46,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_20_33_57,,
